id,.metric,.estimator,.estimate,.config
Resample01,rmse,standard,9.135714337986562,Preprocessor1_Model1
Resample01,rsq,standard,0.47348923327415254,Preprocessor1_Model1
Resample02,rmse,standard,8.899172115486248,Preprocessor1_Model1
Resample02,rsq,standard,0.4808074334486365,Preprocessor1_Model1
Resample03,rmse,standard,8.929964873889073,Preprocessor1_Model1
Resample03,rsq,standard,0.506402352684309,Preprocessor1_Model1
Resample04,rmse,standard,8.675563713521129,Preprocessor1_Model1
Resample04,rsq,standard,0.4922293669989721,Preprocessor1_Model1
Resample05,rmse,standard,8.886477976471882,Preprocessor1_Model1
Resample05,rsq,standard,0.4895286248567791,Preprocessor1_Model1
Resample06,rmse,standard,9.062374605167765,Preprocessor1_Model1
Resample06,rsq,standard,0.4826229556832004,Preprocessor1_Model1
Resample07,rmse,standard,8.993878146913639,Preprocessor1_Model1
Resample07,rsq,standard,0.4872510187763732,Preprocessor1_Model1
Resample08,rmse,standard,9.242061252940966,Preprocessor1_Model1
Resample08,rsq,standard,0.4845429743605196,Preprocessor1_Model1
Resample09,rmse,standard,9.071596612758302,Preprocessor1_Model1
Resample09,rsq,standard,0.47749802959505916,Preprocessor1_Model1
Resample10,rmse,standard,8.846124715891639,Preprocessor1_Model1
Resample10,rsq,standard,0.5384426005444203,Preprocessor1_Model1
